生徒ID,請求情報ID,支払日時,支払金額,合計,差引,08月売上,09月売上,10月売上,11月売上,12月売上,01月売上
S00000010046,2766057,"2025-09-17 03:28:05",0,0,0,0,0,0,0,0,0
S00000010075,2747816,"2025-09-01 03:32:59",11880,0,11880,0,0,0,0,0,0
S00000010134,2772938,"2025-09-22 03:20:32",11880,0,11880,0,0,0,0,0,0
S00000010180,2787547,"2025-09-27 03:24:35",13365,0,13365,0,0,0,0,0,0
S00000010180,2787548,"2025-09-27 03:24:35",0,0,0,0,0,0,0,0,0
S00000010190,2788515,"2025-09-01 03:35:05",0,0,0,0,0,0,0,0,0
S00000010190,2788516,"2025-09-01 03:35:05",0,0,0,0,0,0,0,0,0
S00000010190,2747861,"2025-09-01 03:35:05",17820,0,17820,0,0,0,0,0,0
S00000010274,2752579,"2025-09-04 03:24:59",11880,0,11880,0,0,0,0,0,0
S00000010404,2780274,"2025-09-25 03:18:41",11880,0,11880,0,0,0,0,0,0
S00000010462,2772965,"2025-09-22 03:22:09",11880,0,11880,0,0,0,0,0,0
S00000010471,2755224,"2025-09-06 03:45:13",14107,0,14107,0,0,0,0,0,0
S00000010471,2755225,"2025-09-06 03:45:13",0,0,0,0,0,0,0,0,0
S00000010515,2761622,"2025-09-13 03:38:27",14107,0,14107,0,0,0,0,0,0
S00000010515,2761623,"2025-09-13 03:38:28",0,0,0,0,0,0,0,0,0
S00000010597,2769111,"2025-09-19 03:15:26",14107,0,14107,0,0,0,0,0,0
S00000010597,2769112,"2025-09-19 03:15:27",0,0,0,0,0,0,0,0,0
S00000010629,2790294,"2025-09-30 03:25:33",12622,0,12622,0,0,0,0,0,0
S00000010629,2790295,"2025-09-30 03:25:33",0,0,0,0,0,0,0,0,0
S00000010654,2748993,"2025-09-01 04:19:30",14850,0,14850,0,0,0,0,0,0
S00000010654,2748994,"2025-09-01 04:19:30",0,0,0,0,0,0,0,0,0
S00000010656,2788009,"2025-09-28 03:17:01",11880,0,11880,0,0,0,0,0,0
S00000010685,2763129,"2025-09-15 19:03:37",0,0,0,0,0,0,0,0,0
S00000010685,2763130,"2025-09-15 19:03:37",7425,0,7425,0,0,0,0,0,0
S00000010711,2771789,"2025-09-20 03:28:00",13365,0,13365,0,0,0,0,0,0
S00000010711,2771790,"2025-09-20 03:28:00",0,0,0,0,0,0,0,0,0
S00000010760,2763463,"2025-09-16 03:26:49",11880,0,11880,0,0,0,0,0,0
S00000010760,2763464,"2025-09-16 03:26:52",990,0,990,0,0,0,0,0,0
S00000010795,2755523,"2025-09-07 03:23:48",11880,0,11880,0,0,0,0,0,0
S00000010795,2755542,"2025-09-07 03:24:49",990,0,990,0,0,0,0,0,0
S00000010816,2762325,"2025-09-14 03:36:24",14107,0,14107,0,0,0,0,0,0
S00000010816,2762326,"2025-09-14 03:36:25",0,0,0,0,0,0,0,0,0
S00000010856,2761050,"2025-09-13 03:16:03",13365,0,13365,0,0,0,0,0,0
S00000010856,2761051,"2025-09-13 03:16:03",0,0,0,0,0,0,0,0,0
S00000010915,2769554,"2025-09-19 03:32:59",14107,0,14107,0,0,0,0,0,0
S00000010915,2769555,"2025-09-19 03:32:59",0,0,0,0,0,0,0,0,0
S00000011027,2767563,"2025-09-18 03:36:37",11880,0,11880,0,0,0,0,0,0
S00000011116,2747805,"2025-09-01 03:32:29",990,0,990,0,0,0,0,0,0
S00000011116,2747810,"2025-09-01 03:32:42",11880,0,11880,0,0,0,0,0,0
S00000011226,2762603,"2025-09-15 03:20:31",11880,0,11880,0,0,0,0,0,0
S00000011295,2772069,"2025-09-20 11:40:35",0,0,0,0,0,0,0,0,0
S00000011295,2772070,"2025-09-20 11:40:35",20377,0,20377,0,0,0,0,0,0
S00000011393,2788622,"2025-09-29 03:17:41",11880,0,11880,0,0,0,0,0,0
S00000011394,2750077,"2025-09-02 03:19:25",11880,0,11880,0,0,0,0,0,0
S00000011420,2753630,"2025-09-05 03:17:04",11880,0,11880,0,0,0,0,0,0
S00000011426,2750057,"2025-09-02 03:18:30",11880,0,11880,0,0,0,0,0,0
S00000011502,2758468,"2025-09-10 03:20:06",11880,0,11880,0,0,0,0,0,0
S00000011505,2767171,"2025-09-18 03:22:35",11880,0,11880,0,0,0,0,0,0
S00000011544,2761583,"2025-09-13 03:37:10",14850,0,14850,0,0,0,0,0,0
S00000011544,2761584,"2025-09-13 03:37:10",0,0,0,0,0,0,0,0,0
S00000011595,2769124,"2025-09-19 03:15:59",11880,0,11880,0,0,0,0,0,0
S00000011613,2773152,"2025-09-22 03:29:19",13365,0,13365,0,0,0,0,0,0
S00000011613,2773153,"2025-09-22 03:29:19",0,0,0,0,0,0,0,0,0
S00000011767,2759352,"2025-09-11 03:16:17",11880,0,11880,0,0,0,0,0,0
S00000011803,2769138,"2025-09-19 03:16:34",11880,0,11880,0,0,0,0,0,0
S00000011825,2761418,"2025-09-13 03:31:59",13365,0,13365,0,0,0,0,0,0
S00000011825,2761419,"2025-09-13 03:31:59",0,0,0,0,0,0,0,0,0
S00000012042,2755406,"2025-09-07 03:17:11",17820,0,17820,0,0,0,0,0,0
S00000012125,2762416,"2025-09-14 08:13:02",0,0,0,0,0,0,0,0,0
S00000012125,2762417,"2025-09-14 08:13:02",7425,0,7425,0,0,0,0,0,0
S00000012130,2788655,"2025-09-29 03:19:43",11880,0,11880,0,0,0,0,0,0
S00000012133,2776197,"2025-09-22 21:22:55",0,0,0,0,0,0,0,0,0
S00000012133,2776198,"2025-09-22 21:22:55",7425,0,7425,0,0,0,0,0,0
S00000012157,2753886,"2025-09-05 03:30:23",12622,0,12622,0,0,0,0,0,0
S00000012157,2753887,"2025-09-05 03:30:23",0,0,0,0,0,0,0,0,0
S00000012174,2762755,"2025-09-15 03:26:15",13365,0,13365,0,0,0,0,0,0
S00000012174,2762756,"2025-09-15 03:26:15",0,0,0,0,0,0,0,0,0
S00000012206,2776256,"2025-09-23 03:16:37",11880,0,11880,0,0,0,0,0,0
S00000012619,2760317,"2025-09-12 03:16:54",11880,0,11880,0,0,0,0,0,0
S00000012698,2761080,"2025-09-13 03:16:59",13365,0,13365,0,0,0,0,0,0
S00000012698,2761081,"2025-09-13 03:16:59",0,0,0,0,0,0,0,0,0
S00000012740,2759913,"2025-09-11 03:37:49",14107,0,14107,0,0,0,0,0,0
S00000012740,2759914,"2025-09-11 03:37:49",0,0,0,0,0,0,0,0,0
S00000012750,2758552,"2025-09-10 03:25:16",11880,0,11880,0,0,0,0,0,0
S00000012841,2759760,"2025-09-11 03:32:41",14107,0,14107,0,0,0,0,0,0
S00000012841,2759761,"2025-09-11 03:32:41",0,0,0,0,0,0,0,0,0
S00000012919,2750267,"2025-09-02 03:30:44",11880,0,11880,0,0,0,0,0,0
S00000012993,2757396,"2025-09-09 03:20:02",11880,0,11880,0,0,0,0,0,0
S00000013015,2761197,"2025-09-13 03:23:28",11880,0,11880,0,0,0,0,0,0
S00000013048,2769071,"2025-09-18 20:33:03",0,0,0,0,0,0,0,0,0
S00000013048,2769072,"2025-09-18 20:33:03",14107,0,14107,0,0,0,0,0,0
S00000013076,2756273,"2025-09-08 03:18:17",11880,0,11880,0,0,0,0,0,0
S00000013197,2750087,"2025-09-02 03:20:00",17820,0,17820,0,0,0,0,0,0
S00000013227,2776837,"2025-09-24 03:16:32",11880,0,11880,0,0,0,0,0,0
S00000013230,2749131,"2025-09-01 04:24:11",13365,0,13365,0,0,0,0,0,0
S00000013230,2749132,"2025-09-01 04:24:11",0,0,0,0,0,0,0,0,0
S00000013279,2750725,"2025-09-02 03:46:59",14107,0,14107,0,0,0,0,0,0
S00000013279,2750726,"2025-09-02 03:46:59",0,0,0,0,0,0,0,0,0
S00000013289,2755272,"2025-09-06 08:31:25",14107,0,14107,0,0,0,0,0,0
S00000013289,2755273,"2025-09-06 08:31:25",19800,0,19800,0,0,0,0,0,0
S00000013289,2755274,"2025-09-06 08:31:25",0,0,0,0,0,0,0,0,0
S00000013339,2754644,"2025-09-06 03:24:51",11880,0,11880,0,0,0,0,0,0
S00000013403,2763847,"2025-09-16 03:39:52",14107,0,14107,0,0,0,0,0,0
S00000013403,2763848,"2025-09-16 03:39:52",0,0,0,0,0,0,0,0,0
S00000013477,2788235,"2025-09-28 03:27:32",11880,0,11880,0,0,0,0,0,0
S00000013521,2753634,"2025-09-05 03:17:15",11880,0,11880,0,0,0,0,0,0
S00000013625,2776950,"2025-09-24 03:22:22",13365,0,13365,0,0,0,0,0,0
S00000013625,2776951,"2025-09-24 03:22:22",0,0,0,0,0,0,0,0,0
S00000013679,2766005,"2025-09-17 03:26:28",13365,0,13365,0,0,0,0,0,0
S00000013679,2766006,"2025-09-17 03:26:28",0,0,0,0,0,0,0,0,0
S00000013685,2758329,"2025-09-09 21:45:27",0,0,0,0,0,0,0,0,0
